Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
10000,1.4470791,3.9895261845386534,1.1390666,3.470494786203949,3.470494786203949,56.87276,0.28845745,0.00029849182,1.0
20000,1.5265785,4.056117290192113,1.6063318,3.5092017381810803,3.5092017381810803,10.904092,0.27013198,0.00029549928,1.0
30000,1.5906824,4.130903490759754,1.4424292,3.5992822150440325,3.5992822150440325,7.6549053,0.28670666,0.00029251064,1.0
40000,1.6558577,4.112640163098878,1.6149163,3.6122193638776223,3.6122193638776223,7.244505,0.26918066,0.00028949804,1.0
50000,1.7145231,4.886658795749705,2.5306776,4.350676673780393,4.350676673780393,13.256981,0.6636929,0.0002865009,1.0
60000,1.7276487,4.59047619047619,1.6396413,4.027237696935667,4.027237696935667,7.2008486,0.28266388,0.0002835052,1.0
70000,1.7596453,4.273301737756714,1.7737491,3.7408760718152494,3.7408760718152494,8.2476,0.25920677,0.00028050516,1.0
80000,1.8014355,4.13477366255144,1.615462,3.602053918265709,3.602053918265709,4.7093472,0.2582,0.00027749466,1.0
90000,1.8504207,3.972636815920398,1.4522934,3.434411257549876,3.434411257549876,3.0485983,0.32153913,0.00027450183,1.0
100000,1.88192,3.7791030534351147,1.4450083,3.2596278507289167,3.2596278507289167,2.4328918,0.27706826,0.00027150038,1.0
110000,1.9401447,3.712936732766761,1.264305,3.218388083519547,3.218388083519547,2.217638,0.28995237,0.00026849905,1.0
120000,2.0146468,3.7231931979215873,1.4340272,3.2237133308576422,3.2237133308576422,2.9609032,0.28101692,0.00026549824,1.0
130000,2.0926888,3.733997155049787,1.453948,3.2339493951788456,3.2339493951788456,1.742877,0.28054652,0.0002624944,1.0
140000,2.1641107,3.77714012434242,1.4239243,3.255969958751682,3.255969958751682,1.7469772,0.27041447,0.00025949738,1.0
150000,2.2169511,3.9800796812749004,1.4536788,3.4334168555252105,3.4334168555252105,1.5842596,0.32182705,0.0002565011,1.0
160000,2.248499,4.025666834423754,1.4702053,3.485678915761823,3.485678915761823,1.5581099,0.25920054,0.00025350694,1.0
170000,2.3152936,3.902893575282001,1.4372299,3.364885265538364,3.364885265538364,0.8439464,0.27287105,0.00025050613,1.0
180000,2.3817427,4.674801362088536,1.9020728,4.119909819864239,4.119909819864239,4.9688087,0.29868543,0.00024750133,1.0
190000,2.4208362,5.75118004045853,2.7765822,5.215463199782903,5.215463199782903,8.316254,0.26938194,0.00024448743,1.0
200000,2.4641054,5.012658227848101,2.205682,4.491461837714649,4.491461837714649,4.895071,0.26038942,0.00024150318,1.0
210000,2.507582,4.0980091883614085,1.5136012,3.578990846674762,3.578990846674762,1.392789,0.28122532,0.00023850797,1.0
220000,2.5465024,4.147195059186824,1.4218818,3.6104482881690325,3.6104482881690325,1.2067211,0.24706654,0.00023551047,1.0
230000,2.6173368,4.276809297411516,1.6030775,3.735567809786834,3.735567809786834,1.083404,0.263603,0.00023250985,1.0
240000,2.6797936,4.269473684210526,1.7262342,3.7405168660950734,3.7405168660950734,1.2303038,0.25434273,0.00022950144,1.0
250000,2.7526772,4.296866702071163,1.6189028,3.77256410872027,3.77256410872027,1.2444215,0.25031796,0.00022649138,1.0
260000,2.816691,4.265542676501581,1.6604679,3.738494497904845,3.738494497904845,1.3207722,0.26690543,0.0002234894,1.0
270000,2.855295,4.3320875600640685,1.6673058,3.8153605656941734,3.8153605656941734,1.3727592,0.27072814,0.0002204926,1.0
