Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,4.375604513702311,-33.895706,3.859677981433048,3.859677981433048,1.0
20000,1.4189383,4.328708644610459,-34.290737,3.818017617344602,3.818017617344602,1.0
30000,1.4189383,4.3296,-34.43644,3.817867225646973,3.817867225646973,1.0
40000,1.4189383,4.3001060445387065,-34.87234,3.8043990787148285,3.8043990787148285,1.0
50000,1.4189383,4.351554126473741,-34.190887,3.841488785355709,3.841488785355709,1.0
60000,1.4227583,4.3198509845662585,-11.744481,3.818404812508441,3.818404812508441,1.0
70000,1.4233357,4.34796573875803,-8.919167,3.8352600545918896,3.8352600545918896,1.0
80000,1.4233358,4.259473684210526,-8.4055805,3.757233594481033,3.757233594481033,1.0
90000,1.4233358,4.3288912579957355,-8.325013,3.8046331429760802,3.8046331429760802,1.0
100000,1.4233358,4.288207297726071,-8.6816,3.7733338885837133,3.7733338885837133,1.0
110000,1.4245007,4.297669491525424,-4.9037347,3.785487846676576,3.785487846676576,1.0
120000,1.4248904,4.29920424403183,-3.7049937,3.8025442781938597,3.8025442781938597,1.0
130000,1.4248904,4.2934322033898304,-3.5402517,3.787083671861631,3.787083671861631,1.0
140000,1.4248904,4.264349657714587,-3.567111,3.756158455296567,3.756158455296567,1.0
150000,1.4248904,4.319318786588611,-3.4476018,3.8131990725845655,3.8131990725845655,1.0
160000,1.4242536,4.334578441835646,-2.470839,3.8208538937886556,3.8208538937886556,1.0
170000,1.423876,4.348663101604278,-1.8324875,3.8436904052999568,3.8436904052999568,1.0
180000,1.423876,4.292218104817364,-1.7849976,3.7962419599247332,3.7962419599247332,1.0
190000,1.423876,4.296237413884473,-1.8431376,3.798253612583942,3.798253612583942,1.0
200000,1.423876,4.324813631522897,-1.8582649,3.812833357923709,3.812833357923709,1.0
210000,1.4233321,4.363929146537842,-1.2100288,3.860998414616728,3.860998414616728,1.0
220000,1.4228039,4.3288912579957355,-0.6790903,3.814438491535746,3.814438491535746,1.0
230000,1.4228039,4.277044854881266,-0.63574266,3.768443828396558,3.768443828396558,1.0
