Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,9.027054108216433,-35.86177,-0.52776330703479,-0.52776330703479,1.0
20000,1.4189383,9.041206030150754,-35.8574,-0.5268373644375897,-0.5268373644375897,1.0
30000,1.4189383,9.021042084168336,-36.752655,-0.5286072325372027,-0.5286072325372027,1.0
40000,1.4189383,8.946268656716418,-35.33149,-0.5310049913415862,-0.5310049913415862,1.0
50000,1.4189383,8.870681145113524,-35.912846,-0.5349753374290843,-0.5349753374290843,1.0
60000,1.4240017,9.108080808080809,-12.042436,-0.5230707222765142,-0.5230707222765142,1.0
70000,1.4248408,9.27880658436214,-8.470547,-0.5159156532812511,-0.5159156532812511,1.0
80000,1.4248408,9.176171079429736,-8.549273,-0.5208138494865091,-0.5208138494865091,1.0
90000,1.4248408,9.251024590163935,-8.5613365,-0.5165266523473575,-0.5165266523473575,1.0
100000,1.4248408,9.147357723577235,-8.448037,-0.5210660046732365,-0.5210660046732365,1.0
110000,1.4238517,9.121703853955376,-4.300112,-0.521639688415566,-0.521639688415566,1.0
120000,1.4235017,9.238974358974358,-2.8939815,-0.5167725547903874,-0.5167725547903874,1.0
130000,1.4235017,9.158375634517766,-2.8251193,-0.5207512834955593,-0.5207512834955593,1.0
140000,1.4235017,9.14852492370295,-2.7686281,-0.5204568674116571,-0.5204568674116571,1.0
150000,1.4235017,9.127789046653144,-2.9320228,-0.522502547218686,-0.522502547218686,1.0
160000,1.4218689,9.091733870967742,-2.0045583,-0.5242280669578029,-0.5242280669578029,1.0
170000,1.4208456,9.242299794661191,-1.7346468,-0.5175128071554608,-0.5175128071554608,1.0
180000,1.4208456,9.318885448916408,-1.7111217,-0.5132611080219871,-0.5132611080219871,1.0
190000,1.4208456,9.171922685656154,-1.7470942,-0.520813849183332,-0.520813849183332,1.0
200000,1.4208456,9.206122448979592,-1.6979063,-0.5177551146672696,-0.5177551146672696,1.0
210000,1.4203596,9.137195121951219,-1.5512044,-0.5219472776380563,-0.5219472776380563,1.0
220000,1.4198667,9.178207739307537,-1.4866245,-0.5206205645388529,-0.5206205645388529,1.0
230000,1.4198667,9.264615384615384,-1.5020301,-0.5156365646473926,-0.5156365646473926,1.0
240000,1.4198667,9.192857142857143,-1.52845,-0.5201121441693359,-0.5201121441693359,1.0
250000,1.4198667,9.254358974358974,-1.5151879,-0.5170359112054874,-0.5170359112054874,1.0
260000,1.4202077,9.148373983739837,-1.4544898,-0.5214097504078979,-0.5214097504078979,1.0
270000,1.4207733,9.201020408163265,-1.3766019,-0.5182874755635781,-0.5182874755635781,1.0
280000,1.4207733,9.168870803662259,-1.3713937,-0.5198270731273041,-0.5198270731273041,1.0
290000,1.4207733,9.210418794688458,-1.4081501,-0.5184576237408693,-0.5184576237408693,1.0
300000,1.4207733,9.079637096774194,-1.2866082,-0.5247681584329374,-0.5247681584329374,1.0
310000,1.4212866,9.206122448979592,-1.3378752,-0.519163280543016,-0.519163280543016,1.0
320000,1.4227942,9.317525773195877,-1.2421538,-0.5135707043887907,-0.5135707043887907,1.0
330000,1.4227942,9.231320368474924,-1.2490746,-0.5176176002176749,-0.5176176002176749,1.0
340000,1.4227942,9.226434426229508,-1.2443768,-0.5174949027765504,-0.5174949027765504,1.0
350000,1.4227942,9.188391038696537,-1.2952006,-0.5199389148146946,-0.5199389148146946,1.0
360000,1.4226967,9.130831643002029,-1.2145376,-0.5214908850241384,-0.5214908850241384,1.0
370000,1.4220549,9.261538461538462,-1.0861009,-0.5152512955054259,-0.5152512955054259,1.0
380000,1.4220549,9.222903885480573,-1.0849103,-0.5174642269840514,-0.5174642269840514,1.0
390000,1.4220549,9.127659574468085,-1.0515192,-0.5223684360382528,-0.5223684360382528,1.0
400000,1.4220549,9.158697863682605,-1.0492649,-0.5208536718434434,-0.5208536718434434,1.0
410000,1.4220296,9.17090539165819,-1.0616509,-0.5202238186208544,-0.5202238186208544,1.0
420000,1.4195163,9.188583078491336,-0.9500958,-0.5189602590117615,-0.5189602590117615,1.0
430000,1.4195162,9.202247191011235,-0.98292005,-0.5184591951418897,-0.5184591951418897,1.0
440000,1.4195162,9.167853509664292,-0.97852457,-0.5200711522645097,-0.5200711522645097,1.0
450000,1.4195162,9.17258883248731,-0.9865873,-0.520050878442316,-0.520050878442316,1.0
460000,1.4195162,9.12474645030426,-0.98251796,-0.5230971801015529,-0.5230971801015529,1.0
470000,1.4177661,9.190621814475026,-0.9319033,-0.5192762636992545,-0.5192762636992545,1.0
480000,1.41756,9.15548780487805,-0.92811066,-0.5208121956907553,-0.5208121956907553,1.0
490000,1.41756,9.157360406091371,-0.93120164,-0.5208333491431019,-0.5208333491431019,1.0
500000,1.41756,9.192229038854805,-0.92578846,-0.5196942035697408,-0.5196942035697408,1.0
510000,1.41756,9.177009155645981,-0.9345796,-0.5204476235114182,-0.5204476235114182,1.0
520000,1.4160306,9.177189409368635,-0.88556796,-0.5195422308976143,-0.5195422308976143,1.0
530000,1.4155805,9.227226202661209,-0.90549827,-0.5179959244888984,-0.5179959244888984,1.0
540000,1.4155804,9.297631307929969,-0.8987637,-0.5149330731277977,-0.5149330731277977,1.0
550000,1.4155805,9.096969696969698,-0.89013934,-0.5240202176450479,-0.5240202176450479,1.0
560000,1.4155805,9.140973630831644,-0.8735597,-0.5209432191708508,-0.5209432191708508,1.0
570000,1.4147767,9.196738022426096,-0.8513648,-0.5190316130018866,-0.5190316130018866,1.0
580000,1.4143492,9.265913757700206,-0.8025697,-0.5159856398614769,-0.5159856398614769,1.0
590000,1.4143492,9.210418794688458,-0.83099526,-0.519091850275896,-0.519091850275896,1.0
600000,1.4143492,9.219037871033777,-0.81358635,-0.5179345744275364,-0.5179345744275364,1.0
610000,1.4143492,9.265913757700206,-0.80951035,-0.5156160326219438,-0.5156160326219438,1.0
620000,1.4142838,9.107178968655207,-0.7828755,-0.5239636160365492,-0.5239636160365492,1.0
630000,1.4142249,9.267967145790555,-0.76140356,-0.5152361540456573,-0.5152361540456573,1.0
640000,1.4142249,9.114256825075834,-0.76547843,-0.522901936476585,-0.522901936476585,1.0
650000,1.4142249,9.2,-0.7572096,-0.5195000136385158,-0.5195000136385158,1.0
660000,1.4142249,9.1617497456765,-0.7753702,-0.5204268431639284,-0.5204268431639284,1.0
670000,1.4145422,9.312693498452012,-0.722571,-0.5143196009483534,-0.5143196009483534,1.0
680000,1.4149972,9.263860369609857,-0.7115585,-0.515225885462712,-0.515225885462712,1.0
690000,1.4149972,9.274409044193217,-0.71677214,-0.5147379370902082,-0.5147379370902082,1.0
700000,1.4149972,9.317476732161325,-0.74279577,-0.5121259156026339,-0.5121259156026339,1.0
710000,1.4149972,9.234390992835209,-0.70553577,-0.5175562507657673,-0.5175562507657673,1.0
720000,1.4150138,9.258992805755396,-0.69843405,-0.5159856399226728,-0.5159856399226728,1.0
730000,1.4150546,9.20570264765784,-0.7310638,-0.5193781991860431,-0.5193781991860431,1.0
740000,1.4150546,9.128803245436105,-0.734274,-0.5212779025760674,-0.5212779025760674,1.0
750000,1.4150546,9.17940876656473,-0.7213649,-0.5196643058790438,-0.5196643058790438,1.0
760000,1.4150546,9.301652892561984,-0.7122301,-0.5133814559154903,-0.5133814559154903,1.0
770000,1.4152504,9.258992805755396,-0.7173419,-0.5154051423072815,-0.5154051423072815,1.0
780000,1.4162056,9.203476482617587,-0.73033166,-0.5183452635668637,-0.5183452635668637,1.0
790000,1.4162056,9.295876288659795,-0.7320551,-0.5145932165282394,-0.5145932165282394,1.0
800000,1.4162055,9.267967145790555,-0.705638,-0.5160267082572718,-0.5160267082572718,1.0
810000,1.4162056,9.248975409836065,-0.7133295,-0.5163729640304066,-0.5163729640304066,1.0
820000,1.4162201,9.277492291880781,-0.72168565,-0.5155087485220302,-0.5155087485220302,1.0
830000,1.4165039,9.205102040816326,-0.72050375,-0.5186428728760505,-0.5186428728760505,1.0
840000,1.4165039,9.186925434116445,-0.72938526,-0.5194297491168781,-0.5194297491168781,1.0
850000,1.4165039,9.251540041067761,-0.71574306,-0.5161641158813085,-0.5161641158813085,1.0
860000,1.4165039,9.216547497446374,-0.7306996,-0.5180899011954833,-0.5180899011954833,1.0
870000,1.4165039,9.209183673469388,-0.731357,-0.5189591984967796,-0.5189591984967796,1.0
880000,1.4154881,9.158536585365853,-0.7301575,-0.5202744060415563,-0.5202744060415563,1.0
890000,1.4154135,9.223926380368098,-0.722659,-0.517566477716091,-0.517566477716091,1.0
900000,1.4154135,9.263103802672148,-0.7321117,-0.5157700350519568,-0.5157700350519568,1.0
910000,1.4154135,9.2280163599182,-0.702508,-0.5171983781402096,-0.5171983781402096,1.0
920000,1.4154135,9.180244399185336,-0.7159244,-0.520427279106113,-0.520427279106113,1.0
930000,1.4152852,9.301030927835052,-0.70065933,-0.5134639320914278,-0.5134639320914278,1.0
940000,1.4152548,9.276748971193415,-0.711572,-0.5157759640469213,-0.5157759640469213,1.0
950000,1.4152548,9.254098360655737,-0.71696585,-0.5172950955199414,-0.5172950955199414,1.0
960000,1.4152548,9.110323886639677,-0.71824765,-0.5228745086714324,-0.5228745086714324,1.0
970000,1.4152548,9.348861283643892,-0.6981316,-0.5118717813812342,-0.5118717813812342,1.0
980000,1.4147599,9.237704918032787,-0.6980051,-0.5172336200465921,-0.5172336200465921,1.0
990000,1.4145342,9.149238578680203,-0.67577094,-0.5206998119368756,-0.5206998119368756,1.0
1000000,1.4145342,9.253333333333334,-0.688219,-0.516700834524436,-0.516700834524436,1.0
1010000,1.4145343,9.218813905930471,-0.68294555,-0.5179754747325414,-0.5179754747325414,1.0
1020000,1.4145342,9.23360655737705,-0.6875159,-0.516919153922656,-0.516919153922656,1.0
1030000,1.4148806,9.253333333333334,-0.6851812,-0.5161436023467626,-0.5161436023467626,1.0
1040000,1.4151478,9.234390992835209,-0.6946359,-0.5165199728924762,-0.5165199728924762,1.0
1050000,1.4151478,9.34229576008273,-0.69747937,-0.512440553803725,-0.512440553803725,1.0
1060000,1.4151478,9.20961145194274,-0.70615876,-0.5184489922864096,-0.5184489922864096,1.0
1070000,1.4151478,9.236438075742068,-0.69220144,-0.5183828192455132,-0.5183828192455132,1.0
1080000,1.4161767,9.287332646755921,-0.6997711,-0.5145679142004178,-0.5145679142004178,1.0
1090000,1.4174557,9.1082995951417,-0.70706993,-0.522881714290025,-0.522881714290025,1.0
1100000,1.4174557,9.167853509664292,-0.7195879,-0.5201932996481141,-0.5201932996481141,1.0
1110000,1.4174557,9.227459016393443,-0.70507824,-0.5169223056370983,-0.5169223056370983,1.0
1120000,1.4174557,9.274691358024691,-0.71967524,-0.5146146069940291,-0.5146146069940291,1.0
1130000,1.4172614,9.286008230452675,-0.69825494,-0.5140699014634292,-0.5140699014634292,1.0
1140000,1.4168546,9.205102040816326,-0.70387346,-0.5188673611198152,-0.5188673611198152,1.0
1150000,1.4168546,9.336091003102378,-0.6836408,-0.5120372409164721,-0.5120372409164721,1.0
1160000,1.4168546,9.257965056526208,-0.6859172,-0.5152820655627128,-0.5152820655627128,1.0
1170000,1.4168546,9.27880658436214,-0.6875516,-0.5152620901061722,-0.5152620901061722,1.0
1180000,1.416841,9.273100616016427,-0.6901218,-0.5151490368798972,-0.5151490368798972,1.0
1190000,1.4167885,9.286302780638517,-0.67515707,-0.5142798513909916,-0.5142798513909916,1.0
1200000,1.4167883,9.307216494845362,-0.69136876,-0.5136185716107948,-0.5136185716107948,1.0
1210000,1.4167883,9.237704918032787,-0.67463994,-0.5168782144388376,-0.5168782144388376,1.0
1220000,1.4167883,9.235897435897435,-0.67668986,-0.5181166964031169,-0.5181166964031169,1.0
1230000,1.4167751,9.22597137014315,-0.6781589,-0.5183026742471996,-0.5183026742471996,1.0
1240000,1.4166261,9.249230769230769,-0.6851723,-0.5167860935995986,-0.5167860935995986,1.0
1250000,1.4166261,9.233846153846153,-0.6938643,-0.5169672266137405,-0.5169672266137405,1.0
1260000,1.4166261,9.144162436548223,-0.6865632,-0.5224543766970566,-0.5224543766970566,1.0
1270000,1.4166261,9.274409044193217,-0.6748726,-0.5150770948700155,-0.5150770948700155,1.0
1280000,1.4166261,9.240532241555783,-0.6758748,-0.5179631680768735,-0.5179631680768735,1.0
1290000,1.416411,9.15548780487805,-0.67895234,-0.5208629586369858,-0.5208629586369858,1.0
1300000,1.4164034,9.230296827021494,-0.6888005,-0.5180552869028543,-0.5180552869028543,1.0
1310000,1.4164035,9.277492291880781,-0.67881274,-0.5151079260923145,-0.5151079260923145,1.0
1320000,1.4164034,9.265913757700206,-0.6817684,-0.5168069952322473,-0.5168069952322473,1.0
1330000,1.4164034,9.19775739041794,-0.6774563,-0.5182161196291629,-0.5182161196291629,1.0
1340000,1.4165293,9.252307692307692,-0.6907505,-0.5164820661300268,-0.5164820661300268,1.0
1350000,1.4165522,9.185714285714285,-0.69590753,-0.5193788321829134,-0.5193788321829134,1.0
1360000,1.4165523,9.181632653061225,-0.7006109,-0.5205499118918557,-0.5205499118918557,1.0
1370000,1.4165522,9.375129533678756,-0.69890213,-0.5100829994530104,-0.5100829994530104,1.0
1380000,1.4165522,9.316821465428276,-0.6952654,-0.5133299119079235,-0.5133299119079235,1.0
1390000,1.4160119,9.322647362978284,-0.6858534,-0.5126549713621454,-0.5126549713621454,1.0
1400000,1.4158084,9.281314168377824,-0.674015,-0.5147482135925606,-0.5147482135925606,1.0
1410000,1.4158083,9.252307692307692,-0.68928766,-0.5161436041807517,-0.5161436041807517,1.0
1420000,1.4158084,9.260780287474333,-0.68068844,-0.515671808658502,-0.515671808658502,1.0
1430000,1.4158084,9.153299492385786,-0.6818575,-0.5209959499477371,-0.5209959499477371,1.0
1440000,1.4156766,9.334368530020704,-0.6760462,-0.5127066249443479,-0.5127066249443479,1.0
1450000,1.4155914,9.316442605997931,-0.6722669,-0.513195888682739,-0.513195888682739,1.0
1460000,1.4155914,9.236438075742068,-0.673439,-0.5163971483402389,-0.5163971483402389,1.0
1470000,1.4155915,9.306818181818182,-0.67719066,-0.5135773333077578,-0.5135773333077578,1.0
1480000,1.4155915,9.291152263374485,-0.6662695,-0.5143107120024324,-0.5143107120024324,1.0
1490000,1.4158528,9.270298047276464,-0.69807446,-0.5152107034288231,-0.5152107034288231,1.0
1500000,1.4161314,9.44560669456067,-0.7102341,-0.5068371734564389,-0.5068371734564389,1.0
1510000,1.4161314,9.223360655737705,-0.71473414,-0.5169427530775285,-0.5169427530775285,1.0
1520000,1.4161314,9.33195449844881,-0.7070024,-0.5117476852504765,-0.5117476852504765,1.0
1530000,1.4161314,9.41207075962539,-0.71261746,-0.5081373712398756,-0.5081373712398756,1.0
1540000,1.4159272,9.296907216494846,-0.70969284,-0.5146241142010713,-0.5146241142010713,1.0
1550000,1.4155661,9.410416666666666,-0.70770174,-0.5091571408429577,-0.5091571408429577,1.0
1560000,1.4155662,9.2280163599182,-0.7218928,-0.5171779291761434,-0.5171779291761434,1.0
1570000,1.4155662,9.219611848825332,-0.72205085,-0.5183537977239105,-0.5183537977239105,1.0
