Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,8.916749256689792,43.42602,3.6658730123724257,3.6658730123724257,1.0
20000,1.4231652,8.930417495029822,35.46576,3.6802383357031934,3.6802383357031934,1.0
30000,1.4231125,8.958167330677291,29.995136,3.7030876551966267,3.7030876551966267,1.0
40000,1.422598,9.006006006006006,23.61268,3.7130000002384187,3.7130000002384187,1.0
50000,1.4236431,8.9402390438247,18.645973,3.6870775338906654,3.6870775338906654,1.0
60000,1.4237405,8.939243027888446,14.320332,3.6871769354784227,3.6871769354784227,1.0
70000,1.4226881,8.895049504950496,10.788043,3.6601980119648547,3.6601980119648547,1.0
80000,1.4228286,9.134888438133874,8.464254,3.777608909626258,3.777608909626258,1.0
90000,1.4249989,8.992,6.6998186,3.7084915109209486,3.7084915109209486,1.0
100000,1.4264663,8.909811694747274,5.380056,3.658771051760353,3.658771051760353,1.0
110000,1.4281956,8.99000999000999,4.3519344,3.7120879089439307,3.7120879089439307,1.0
120000,1.4298761,8.965104685942174,3.9703677,3.696709869628176,3.696709869628176,1.0
130000,1.4319407,8.9740777666999,3.4265146,3.6995014973200213,3.6995014973200213,1.0
140000,1.4333707,8.953233830845772,3.190614,3.6947263641736994,3.6947263641736994,1.0
150000,1.4347134,8.934328358208955,2.9473083,3.6783300161835686,3.6783300161835686,1.0
160000,1.4367398,8.974051896207586,2.9368784,3.6982053830877972,3.6982053830877972,1.0
170000,1.439064,9.026130653266332,2.6955504,3.719558673014971,3.719558673014971,1.0
180000,1.4410871,8.952238805970149,2.5490768,3.689552232400695,3.689552232400695,1.0
190000,1.441911,8.959081836327345,2.433799,3.6969123544446028,3.6969123544446028,1.0
200000,1.4422467,8.991008991008991,2.287801,3.703296700676719,3.703296700676719,1.0
210000,1.4433507,8.886138613861386,2.1651304,3.654104847346758,3.654104847346758,1.0
220000,1.446104,8.961116650049851,2.049264,3.6960159343077366,3.6960159343077366,1.0
230000,1.4482975,8.958208955223881,1.93969,3.6956218861821872,3.6956218861821872,1.0
240000,1.4490176,8.898909811694747,1.7806336,3.6599999991974026,3.6599999991974026,1.0
250000,1.4499866,8.949253731343283,1.7849966,3.6910447775427975,3.6910447775427975,1.0
260000,1.4498829,8.929282868525897,1.7322797,3.674677260700972,3.674677260700972,1.0
270000,1.4498203,9.035140562248996,1.7221317,3.7301905698020574,3.7301905698020574,1.0
280000,1.4496207,8.859822309970385,1.704713,3.6436453178011137,3.6436453178011137,1.0
290000,1.4496135,9.106490872210953,1.6639068,3.7671385204346044,3.7671385204346044,1.0
300000,1.4489233,8.920634920634921,1.5898179,3.6780753972984495,3.6780753972984495,1.0
310000,1.4494263,8.983983983983984,1.6202538,3.704195799289288,3.704195799289288,1.0
320000,1.4494367,9.061430010070493,1.5183172,3.737525147691339,3.737525147691339,1.0
330000,1.4502195,9.001001001001,1.5216635,3.7149999959468842,3.7149999959468842,1.0
340000,1.4507425,9.071572580645162,1.4685979,3.7527162973549766,3.7527162973549766,1.0
350000,1.4499893,9.076612903225806,1.4321206,3.7445564531991558,3.7445564531991558,1.0
360000,1.4500945,8.961116650049851,1.3819332,3.6975099622490872,3.6975099622490872,1.0
370000,1.4502423,9.049246231155779,1.4277179,3.7349748712089195,3.7349748712089195,1.0
380000,1.451035,9.055387713997986,1.4387379,3.7403420495315336,3.7403420495315336,1.0
390000,1.4525298,9.11336032388664,1.4747424,3.7750252807104188,3.7750252807104188,1.0
400000,1.4553204,9.11021233569262,1.5049905,3.771616156173475,3.771616156173475,1.0
410000,1.4579575,9.05273631840796,1.463011,3.739095477482781,3.739095477482781,1.0
420000,1.4607912,9.344502617801048,1.4985784,3.8823164392035405,3.8823164392035405,1.0
430000,1.4601022,9.078708375378406,1.4481069,3.750000000721024,3.750000000721024,1.0
440000,1.4607782,9.059415911379658,1.5327522,3.741146873660251,3.741146873660251,1.0
450000,1.461822,9.012048192771084,1.4685311,3.7246492919558754,3.7246492919558754,1.0
460000,1.4628204,9.114488348530902,1.4427915,3.7749241656794226,3.7749241656794226,1.0
470000,1.4624634,9.236438075742068,1.4691656,3.826612072810912,3.826612072810912,1.0
480000,1.46316,9.12474645030426,1.4633888,3.7736842108641557,3.7736842108641557,1.0
490000,1.4630489,9.221084953940634,1.5088699,3.8107361915408955,3.8107361915408955,1.0
500000,1.4640695,9.1051567239636,1.5405338,3.763939390037999,3.763939390037999,1.0
510000,1.4647009,9.309597523219814,1.4743913,3.8651546399617933,3.8651546399617933,1.0
520000,1.4665189,9.196738022426096,1.466817,3.8082568832615222,3.8082568832615222,1.0
530000,1.4668103,9.198161389172625,1.4723299,3.808571423073204,3.808571423073204,1.0
540000,1.4663692,9.311661506707946,1.5331175,3.8648453651015293,3.8648453651015293,1.0
550000,1.4659088,9.205311542390193,1.5163243,3.8129591846952633,3.8129591846952633,1.0
560000,1.466346,9.224719101123595,1.5266647,3.8264826221700097,3.8264826221700097,1.0
570000,1.4683356,9.18469387755102,1.4971113,3.806924640282594,3.806924640282594,1.0
580000,1.469766,9.212028542303772,1.5369452,3.812040813601747,3.812040813601747,1.0
590000,1.470081,9.332642487046632,1.5329012,3.8724922371995487,3.8724922371995487,1.0
600000,1.4687961,9.282631038026722,1.5026927,3.850462486418031,3.850462486418031,1.0
610000,1.4678162,9.238729508196721,1.5190789,3.822415555877842,3.822415555877842,1.0
620000,1.4674623,9.401041666666666,1.5014471,3.91134235092306,3.91134235092306,1.0
630000,1.4671223,9.278520041109969,1.5061485,3.851387460332245,3.851387460332245,1.0
640000,1.4677076,9.243076923076924,1.5276994,3.8380122978667743,3.8380122978667743,1.0
650000,1.4690441,9.424843423799583,1.5257488,3.9304483869152844,3.9304483869152844,1.0
660000,1.4705013,9.479538300104931,1.5747936,3.949266247279489,3.949266247279489,1.0
670000,1.4716679,9.40980187695516,1.6054189,3.9142559832514388,3.9142559832514388,1.0
680000,1.4725459,9.472803347280335,1.5953629,3.947015705408226,3.947015705408226,1.0
690000,1.4728951,9.588547189819725,1.6417837,3.99798941208572,3.99798941208572,1.0
700000,1.4738783,9.448275862068966,1.6248207,3.9364681231439924,3.9364681231439924,1.0
710000,1.4741833,9.374870197300103,1.5637478,3.903008304690919,3.903008304690919,1.0
720000,1.4741077,9.482142857142858,1.5575547,3.954354669464848,3.954354669464848,1.0
730000,1.4745235,9.455497382198953,1.5724826,3.939958159394843,3.939958159394843,1.0
740000,1.4751425,9.516298633017875,1.6216747,3.974553104956193,3.974553104956193,1.0
750000,1.4762193,9.350259067357513,1.5688548,3.8920289850629883,3.8920289850629883,1.0
760000,1.4768387,9.617179215270413,1.6112542,4.0121951234681985,4.0121951234681985,1.0
770000,1.4773421,9.375908618899274,1.5657325,3.9077881642714964,3.9077881642714964,1.0
780000,1.4785634,9.693048128342246,1.5668001,4.063782058210454,4.063782058210454,1.0
790000,1.4792962,9.582627118644067,1.5621872,4.007733049029011,4.007733049029011,1.0
800000,1.4793591,9.548523206751055,1.5486634,3.979324898136316,3.979324898136316,1.0
810000,1.4786848,9.426485922836287,1.5012373,3.9271115771921137,3.9271115771921137,1.0
820000,1.4784675,9.321428571428571,1.5924809,3.884004128114604,3.884004128114604,1.0
830000,1.4771117,9.627956989247313,1.589805,4.01411888857556,4.01411888857556,1.0
840000,1.4773934,9.781857451403887,1.5092523,4.106688246114869,4.106688246114869,1.0
850000,1.4784002,9.623142250530785,1.5019624,4.020276003076265,4.020276003076265,1.0
860000,1.4788728,9.635782747603834,1.6477933,4.031489363376131,4.031489363376131,1.0
870000,1.4795653,9.622741764080764,1.633526,4.012646112887943,4.012646112887943,1.0
880000,1.4803318,9.653148345784418,1.6443111,4.043130989399708,4.043130989399708,1.0
890000,1.4812635,9.635106382978723,1.6549237,4.033510638297872,4.033510638297872,1.0
900000,1.4828008,9.88888888888889,1.6504611,4.150980398286142,4.150980398286142,1.0
910000,1.4844689,9.73068669527897,1.6683447,4.072639484262262,4.072639484262262,1.0
920000,1.4836621,9.705251875669882,1.6925961,4.066916486946368,4.066916486946368,1.0
930000,1.4818478,9.804112554112555,1.6372305,4.108108107592608,4.108108107592608,1.0
940000,1.480715,9.766415500538214,1.7533183,4.095483863225547,4.095483863225547,1.0
950000,1.4794402,9.986798679867986,1.7292907,4.199010989692185,4.199010989692185,1.0
960000,1.4796371,9.809935205183585,1.709376,4.111783786206632,4.111783786206632,1.0
970000,1.4802394,9.702355460385439,1.6119658,4.067058826895321,4.067058826895321,1.0
980000,1.479676,9.793736501079914,1.6457835,4.106155508022844,4.106155508022844,1.0
990000,1.4791013,9.81581798483207,1.6461589,4.117640697852874,4.117640697852874,1.0
1000000,1.4787152,9.88139281828074,1.7022328,4.140543477172437,4.140543477172437,1.0
1010000,1.4782348,9.550739957716702,1.6799852,3.9930306236242923,3.9930306236242923,1.0
1020000,1.4776471,10.002202643171806,1.7015697,4.206600652407236,4.206600652407236,1.0
1030000,1.4772111,9.75268817204301,1.6672924,4.0887096756248065,4.0887096756248065,1.0
1040000,1.477298,10.006607929515418,1.6364472,4.199450545258575,4.199450545258575,1.0
1050000,1.477768,9.641107561235357,1.6890699,4.034398297278391,4.034398297278391,1.0
1060000,1.478212,10.009911894273127,1.7127514,4.217180618630632,4.217180618630632,1.0
1070000,1.4779204,9.766415500538214,1.6638181,4.103336926040403,4.103336926040403,1.0
1080000,1.4767296,9.886586695747,1.65235,4.149564265165973,4.149564265165973,1.0
1090000,1.4756521,10.07,1.7365646,4.262708098986305,4.262708098986305,1.0
1100000,1.4751971,9.645435244161359,1.6767254,4.034255320214211,4.034255320214211,1.0
1110000,1.4745616,9.833876221498372,1.709262,4.131094266120687,4.131094266120687,1.0
1120000,1.4732339,9.896514161220043,1.7039701,4.139215691676586,4.139215691676586,1.0
1130000,1.4719518,9.876772082878952,1.7709512,4.144940149278194,4.144940149278194,1.0
1140000,1.4705182,10.059866962305987,1.843501,4.249225668147602,4.249225668147602,1.0
1150000,1.4700812,9.851248642779588,1.7690738,4.133188721156172,4.133188721156172,1.0
1160000,1.4693493,9.88139281828074,1.886616,4.137540805326841,4.137540805326841,1.0
1170000,1.4694381,9.983498349834983,1.9210131,4.204829856148143,4.204829856148143,1.0
1180000,1.4705942,9.81581798483207,1.9222682,4.109307361113561,4.109307361113561,1.0
1190000,1.4699752,9.975850713501647,1.9075563,4.195279911242253,4.195279911242253,1.0
1200000,1.4706635,9.925601750547045,1.9727124,4.1715065482922515,4.1715065482922515,1.0
1210000,1.4705973,9.958378970427162,1.6510452,4.187719298559323,4.187719298559323,1.0
1220000,1.4684931,9.765339074273411,1.6063827,4.086221748070773,4.086221748070773,1.0
1230000,1.4667616,9.975956284153005,1.8777938,4.216043950437189,4.216043950437189,1.0
1240000,1.4664147,10.068080357142858,1.8383964,4.243584062937087,4.243584062937087,1.0
1250000,1.4662328,9.958378970427162,1.832796,4.181270539825874,4.181270539825874,1.0
1260000,1.4658881,10.065193370165746,1.7824922,4.236795576369565,4.236795576369565,1.0
1270000,1.4650745,10.004415011037528,1.7932863,4.223568279837722,4.223568279837722,1.0
1280000,1.4646255,10.007734806629834,1.6725883,4.216850215380412,4.216850215380412,1.0
1290000,1.4633899,10.098998887652948,1.6292751,4.265593777750758,4.265593777750758,1.0
1300000,1.4620632,9.950765864332604,1.6792281,4.182256305596392,4.182256305596392,1.0
1310000,1.460635,10.063192904656319,1.6919714,4.235951325270982,4.235951325270982,1.0
1320000,1.4589528,10.048672566371682,1.7243716,4.235469608412263,4.235469608412263,1.0
1330000,1.4572755,9.838219326818676,1.717545,4.126030371659748,4.126030371659748,1.0
1340000,1.4570943,10.1328125,1.8571827,4.287067999674989,4.287067999674989,1.0
1350000,1.4565066,10.03425414364641,1.8974988,4.221412794742626,4.221412794742626,1.0
1360000,1.4561993,9.997804610318331,1.8944776,4.204065932022346,4.204065932022346,1.0
1370000,1.4551252,9.811279826464208,1.7602954,4.120995668879835,4.120995668879835,1.0
1380000,1.4528702,10.085271317829458,1.7298652,4.249058688333792,4.249058688333792,1.0
1390000,1.4505221,10.0509977827051,1.7023139,4.234662238677607,4.234662238677607,1.0
1400000,1.4492291,10.389078498293514,1.790916,4.3978384498578835,4.3978384498578835,1.0
1410000,1.4483863,10.11804008908686,1.7753905,4.279310351086405,4.279310351086405,1.0
1420000,1.447669,10.054384017758046,1.7575824,4.238495580917966,4.238495580917966,1.0
1430000,1.4473624,10.251126126126126,1.6755395,4.334758158609757,4.334758158609757,1.0
1440000,1.4474238,10.07641196013289,1.6013535,4.247729796243797,4.247729796243797,1.0
1450000,1.447293,10.31447963800905,1.7948099,4.368438910035526,4.368438910035526,1.0
1460000,1.4469038,10.125835189309576,1.8151405,4.267964405265613,4.267964405265613,1.0
1470000,1.4461784,10.235955056179776,1.8780993,4.327528092030729,4.327528092030729,1.0
1480000,1.4449679,10.291525423728814,1.8284436,4.342937852299146,4.342937852299146,1.0
1490000,1.4440414,9.859782608695653,1.6946255,4.15494028209475,4.15494028209475,1.0
1500000,1.4436215,10.086570477247502,1.837621,4.2522752544326865,4.2522752544326865,1.0
1510000,1.4439784,10.343537414965986,1.96133,4.380385486987713,4.380385486987713,1.0
1520000,1.4443277,10.388382687927107,1.814592,4.395102501730169,4.395102501730169,1.0
1530000,1.4432043,10.357954545454545,2.095276,4.379090906815096,4.379090906815096,1.0
1540000,1.4422144,10.202914798206278,2.1320086,4.319820827759661,4.319820827759661,1.0
1550000,1.4416902,10.239057239057239,2.0187964,4.3154882143108395,4.3154882143108395,1.0
1560000,1.440948,10.479908151549942,1.8271992,4.444380731757628,4.444380731757628,1.0
1570000,1.4402994,10.06541019955654,1.641318,4.243458975180818,4.243458975180818,1.0
1580000,1.4385654,10.148106904231625,1.8536376,4.292084723943585,4.292084723943585,1.0
1590000,1.4373412,10.229213483146067,1.8524013,4.332547703977386,4.332547703977386,1.0
1600000,1.4363756,10.300113250283125,1.8652048,4.349378530049728,4.349378530049728,1.0
1610000,1.4353611,10.183035714285714,1.7144232,4.289285712476287,4.289285712476287,1.0
1620000,1.4352783,9.972527472527473,1.6688576,4.216813190690764,4.216813190690764,1.0
1630000,1.4343652,10.401368301026226,1.8288049,4.412086666785733,4.412086666785733,1.0
1640000,1.4336988,10.42369020501139,1.8757615,4.410844758221003,4.410844758221003,1.0
1650000,1.4330823,10.309875141884222,1.7966655,4.358776897158251,4.358776897158251,1.0
1660000,1.4329565,10.191919191919192,2.0048795,4.305375142433876,4.305375142433876,1.0
1670000,1.432733,10.718969555035128,1.9248844,4.561358316999967,4.561358316999967,1.0
1680000,1.4321277,10.400228050171037,1.9220121,4.396693267191558,4.396693267191558,1.0
1690000,1.4325398,10.198876404494381,1.7792698,4.32006726403942,4.32006726403942,1.0
1700000,1.4324998,10.350737797956867,1.7108276,4.3738933034435705,4.3738933034435705,1.0
1710000,1.4317943,10.45589919816724,1.8321744,4.442382589102064,4.442382589102064,1.0
1720000,1.4317454,10.25,2.0414462,4.333970755372192,4.333970755372192,1.0
1730000,1.4315706,10.10789766407119,1.7979562,4.263888883060879,4.263888883060879,1.0
1740000,1.4313662,10.327293318233295,1.8263488,4.369195922989808,4.369195922989808,1.0
1750000,1.4308965,10.12888888888889,1.8911664,4.26603563777057,4.26603563777057,1.0
1760000,1.4301847,10.499423298731257,2.0981917,4.441839074540412,4.441839074540412,1.0
1770000,1.4304944,10.345062429057888,2.130169,4.389569158727079,4.389569158727079,1.0
1780000,1.4318306,10.122767857142858,2.040173,4.28695652530079,4.28695652530079,1.0
1790000,1.4324927,10.115684093437153,1.9091002,4.270333329571618,4.270333329571618,1.0
1800000,1.4329935,10.087680355160932,1.7247275,4.255271918765713,4.255271918765713,1.0
1810000,1.433963,10.177852348993289,1.7846849,4.292513962431327,4.292513962431327,1.0
1820000,1.4339666,10.344318181818181,1.7338865,4.383106569043633,4.383106569043633,1.0
1830000,1.4334921,10.448394495412844,1.5807409,4.436998857255654,4.436998857255654,1.0
1840000,1.4325284,10.164245810055865,1.5748624,4.288616071322134,4.288616071322134,1.0
1850000,1.4314238,10.13154960981048,1.7160336,4.269187982408568,4.269187982408568,1.0
1860000,1.4312643,10.03858875413451,1.7073264,4.215325243023554,4.215325243023554,1.0
1870000,1.4313277,10.316685584562997,1.8067112,4.357369616729062,4.357369616729062,1.0
1880000,1.4312361,10.404328018223234,1.8479655,4.405929306349977,4.405929306349977,1.0
1890000,1.4310632,10.159955257270694,1.7957265,4.276116064882705,4.276116064882705,1.0
1900000,1.430618,10.291525423728814,1.7684712,4.341826379231966,4.341826379231966,1.0
1910000,1.430023,10.47646383467279,1.7081054,4.452812860261148,4.452812860261148,1.0
1920000,1.4290154,10.435779816513762,1.6856909,4.419336381165878,4.419336381165878,1.0
1930000,1.428358,10.112097669256382,1.6778271,4.2623333353466455,4.2623333353466455,1.0
1940000,1.4271301,10.235095613048369,1.6298227,4.318651683410902,4.318651683410902,1.0
1950000,1.4266369,10.397947548460662,1.5614918,4.396241460139768,4.396241460139768,1.0
1960000,1.4261636,9.939626783754116,1.621996,4.18881579161736,4.18881579161736,1.0
1970000,1.4253023,10.320135746606335,1.6786574,4.361694912721882,4.361694912721882,1.0
1980000,1.4247226,10.150669642857142,1.7201797,4.2858258956777195,4.2858258956777195,1.0
1990000,1.425048,10.354545454545455,1.6655619,4.380681819265539,4.380681819265539,1.0
2000000,1.4262276,10.408675799086758,1.8433018,4.410946401793981,4.410946401793981,1.0
2010000,1.4263384,10.170212765957446,1.8226641,4.303803126550627,4.303803126550627,1.0
2020000,1.4258875,10.417808219178083,1.9527391,4.4187214630379525,4.4187214630379525,1.0
2030000,1.4262599,10.50344827586207,1.9171405,4.451668585951776,4.451668585951776,1.0
2040000,1.4271351,10.348863636363637,1.8986442,4.382292847357327,4.382292847357327,1.0
2050000,1.4264107,10.46788990825688,1.8581591,4.435853369320654,4.435853369320654,1.0
2060000,1.4262645,10.409706546275395,1.9145955,4.422031961619582,4.422031961619582,1.0
2070000,1.4272224,10.321100917431192,1.960749,4.360249151594911,4.360249151594911,1.0
2080000,1.426507,10.568129330254042,1.8925819,4.490173409302111,4.490173409302111,1.0
2090000,1.4261106,10.301245753114383,1.8763996,4.353559322411058,4.353559322411058,1.0
2100000,1.4251401,10.396807297605474,1.8303616,4.383371301012321,4.383371301012321,1.0
2110000,1.424762,10.13154960981048,1.7247113,4.277616927777738,4.277616927777738,1.0
2120000,1.4254475,10.448394495412844,1.8555926,4.433104237057226,4.433104237057226,1.0
2130000,1.4257467,10.357954545454545,1.9306893,4.392499997940931,4.392499997940931,1.0
2140000,1.4259256,10.351535836177474,1.9044691,4.390227275274016,4.390227275274016,1.0
2150000,1.426534,10.354143019296254,1.8851866,4.38081725176834,4.38081725176834,1.0
2160000,1.4267879,10.204724409448819,1.7559271,4.320898869332303,4.320898869332303,1.0
2170000,1.4267136,10.571428571428571,1.7939485,4.5059096141872645,4.5059096141872645,1.0
2180000,1.4261857,10.600928074245939,1.8776714,4.494901510682885,4.494901510682885,1.0
2190000,1.4259998,10.53757225433526,1.7767081,4.481986139993469,4.481986139993469,1.0
2200000,1.4258591,10.36095346197503,1.7724854,4.374687858120402,4.374687858120402,1.0
2210000,1.4257852,10.184770436730123,1.7900983,4.299888145736933,4.299888145736933,1.0
2220000,1.4259772,10.48041474654378,1.7099992,4.434787603251285,4.434787603251285,1.0
2230000,1.4255501,10.35909090909091,1.7905132,4.405802043496003,4.405802043496003,1.0
2240000,1.4246688,10.461538461538462,1.914072,4.42279495652189,4.42279495652189,1.0
2250000,1.4241719,10.5625,1.9262464,4.478983830359461,4.478983830359461,1.0
2260000,1.4241037,10.506912442396313,1.9084065,4.46225547241808,4.46225547241808,1.0
2270000,1.4240963,10.462155963302752,1.8537612,4.447477065915361,4.447477065915361,1.0
2280000,1.4236913,10.302824858757063,1.6966776,4.3584180753783315,4.3584180753783315,1.0
2290000,1.4230205,10.132222222222222,1.7236587,4.268930959807738,4.268930959807738,1.0
2300000,1.4223953,10.264937993235625,1.8422248,4.331496064923075,4.331496064923075,1.0
